,ds,yhat,yhat_lower,yhat_upper,y,cutoff
12501,1996-12-25,75.20724980907445,45.73410198952574,105.76390717358443,77.3,1996-12-18
12502,1996-12-26,75.46939781754698,44.688641982711005,105.26266726952294,75.5,1996-12-25
12503,1996-12-27,75.58355154249793,45.90792086539245,109.1706048851401,74.6,1996-12-25
12504,1996-12-28,75.6579476305701,45.073456598310784,105.8333277328357,74.2,1996-12-25
12505,1996-12-29,75.74166812719899,44.55171272534518,106.94199557136841,73.8,1996-12-25
12506,1996-12-30,75.9345453326522,45.31625627421077,103.34837380388409,72.5,1996-12-25
12507,1996-12-31,76.33451081000817,46.59356086675449,107.13866624469635,72.2,1996-12-25
12508,1997-01-01,76.94946248031574,44.53120707272407,104.86709034469848,72.4,1996-12-25
12509,1997-01-02,77.60758821368458,45.82845093079193,107.40815614692698,72.1,1997-01-01
12510,1997-01-03,78.23461941166728,47.9589927440387,109.11846262621582,73.3,1997-01-01
12511,1997-01-04,78.6656453521873,49.61994551678358,110.16085073281526,73.8,1997-01-01
12512,1997-01-05,78.92224185649413,46.022800436068486,108.34584760051375,74.4,1997-01-01
12513,1997-01-06,79.1068212055585,49.38284514075444,108.4152960736028,73.1,1997-01-01
12514,1997-01-07,79.28689348878436,50.02433562169592,109.5701271597494,73.3,1997-01-01
12515,1997-01-08,79.43426117912551,48.885835062207384,108.49602299625639,73.8,1997-01-01
12516,1997-01-09,79.21947073219754,49.43443541333718,109.82325270590219,73.7,1997-01-08
12517,1997-01-10,79.09672941956897,48.635326995058676,108.92692190949276,75.4,1997-01-08
12518,1997-01-11,78.83394865432854,49.61029785556298,108.97174063644128,74.0,1997-01-08
12519,1997-01-12,78.46354590564286,47.92467058044338,106.09845044067086,74.5,1997-01-08
12520,1997-01-13,77.98221914011944,46.51864806653907,109.4181130006964,74.6,1997-01-08
12521,1997-01-14,77.36940620880023,45.82393570302001,108.3130994876413,74.9,1997-01-08
12522,1997-01-15,76.65751097278891,43.12939700442728,106.88325946701785,75.8,1997-01-08
12523,1997-01-16,75.94006012954394,46.46530464054453,106.84298895681012,74.8,1997-01-15
12524,1997-01-17,75.42618092447921,42.8356977703937,104.11704751902235,74.1,1997-01-15
12525,1997-01-18,75.1757404046407,45.436351157470156,107.23047509088832,74.6,1997-01-15
12526,1997-01-19,75.16475276815989,43.68226331783312,104.7933869692293,75.3,1997-01-15
12527,1997-01-20,75.29483304907684,44.959524214805,104.60986940149172,76.8,1997-01-15
12528,1997-01-21,75.46709621594293,46.58690625734651,105.5802495246903,74.1,1997-01-15
12529,1997-01-22,75.6219505719383,45.39903622871446,105.14096179941525,73.0,1997-01-15
12530,1997-01-23,75.32716443580414,44.487371895479995,103.43423118701676,73.4,1997-01-22
12531,1997-01-24,75.39937983040143,45.37637979253804,108.21754811316347,74.2,1997-01-22
12532,1997-01-25,75.47981043623673,44.80261206521948,107.24106823012076,73.1,1997-01-22
12533,1997-01-26,75.66492783905859,46.65743843539553,105.26231404876467,74.1,1997-01-22
